Name,Location,Price,Ratings,Reviews,Reviews Score
FabHotel Dream Plaza - Nr Biswa Bangla Gate,"New Town, Kolkata",1533,Good,Good,27
Hotel O Comfort N Cozy,"New Town, Kolkata",999,Review score,Review score,13
Hotel O Honey Rose Lodge,Kolkata,923,Review score,Review score,6
HOTEL 16 AVENUE,Kolkata,2850,Very Good,Very Good,57
Evara-Meraki Inn,Kolkata,1793,Review score,Review score,6
"Laketown Vintage Villa, a 2 room Holiday Home",Kolkata,2175,Very Good,Very Good,15
HOTEL STEAM,"Ballygunge, Kolkata",2755,Good,Good,36
Affordable Stays in Park Circus!,Kolkata,1231,Excellent,Excellent,5
Super Hotel O Tagore Park Laskarhat formerly Shankar Guest House,Kolkata,1400,Exceptional,Exceptional,2
FabHotel Krishna I - Nr Birla Industrial & Tech Museum,"Kalighat, Kolkata",1303,Review score,Review score,59
Hotel Nest International,"Ballygunge, Kolkata",1246,Review score,Review score,8
Brio Hotel,"Salt Lake, Kolkata",4049,Excellent,Excellent,8
FE 486 Villa,"Salt Lake, Kolkata",2500,Exceptional,Exceptional,2
The City of Joy,Kolkata,1668,Good,Good,44
Hotel Diamond inn-Esplanade,Kolkata,1552,No Reviews,No Reviews,Not Available
"Treebo Orion Sapphire, Beck Bagan","Park Street, Kolkata",2282,Review score,Review score,145
Salt Lake Residency,"Salt Lake, Kolkata",1799,Good,Good,7
Mavenoak Dreams B&B,"Kalighat, Kolkata",2400,Very Good,Very Good,25
FabHotel Royal Park Inn - Nr Eden Garden Stadium,Kolkata,2313,Good,Good,34
Sarkar Villa Homestay,Kolkata,1524,Very Good,Very Good,15
Hotel O2 Oxygen,Kolkata,2799,Review score,Review score,114
BEYZAA HOTEL AND SUITES,"Salt Lake, Kolkata",5129,Very Good,Very Good,107
DIAMOND GUEST HOUSE,Kolkata,1913,Review score,Review score,53
Cozy 2BHK Apt near Ruby Hospital & EM Bypass,Kolkata,3600,Excellent,Excellent,13
Hotel Angina,Kolkata,1530,Review score,Review score,532
Capital Guest House,Kolkata,900,Review score,Review score,52
Babul Hotel,Kolkata,900,Review score,Review score,94
Hotel Niharika,"Park Street, Kolkata",4800,Review score,Review score,8
25th lantern guest house,Kolkata,1615,Wonderful,Wonderful,3
Sterling Baishakhi,"Salt Lake, Kolkata",1339,Review score,Review score,23
AD's Inn,Kolkata,1275,Good,Good,17
Itsy Hotels Neeranand Plaza,Kolkata,1997,Good,Good,72
Kollolini Kolkata,Kolkata,1800,Excellent,Excellent,13
